file,alpha_eff,alpha_eff_err,lambda_kpc,lambda_kpc_err,chi2,dof,error
NGC2976_rotmod.dat,5.134781488891349e-16,2.0000000000287914e-09,10.22499999999998,7.071067676343338,29.270880125707432,25.0,
NGC2998_rotmod.dat,0.5210381549603785,0.010611716104647749,68.82484015410745,3.9048179934126184,498.07417023217937,11.0,
NGC3109_rotmod.dat,1.9999999999933942,2.000000000909827e-09,35.945890516011545,4.067492774411131,910.9587054362787,23.0,
NGC3198_rotmod.dat,0.36558733922959474,0.004596400924778916,99.99999999090166,2.0000000090588798e-09,9058.881467779163,41.0,
NGC3521_rotmod.dat,4.163336342344337e-16,2.0000000011973143e-09,8.824999999999985,7.071065007187823,1206.6491686776465,39.0,
NGC3726_rotmod.dat,4.163336342344337e-16,2.00000000025682e-09,8.824999999999985,7.071070031483067,258.3404549833954,10.0,
NGC3741_rotmod.dat,2.0,2.000000001040069e-09,32.19294061637176,4.106068251393676,1040.8172185838516,19.0,
NGC3769_rotmod.dat,0.22813770577003262,0.028665328274731474,30.44433361306249,4.528270607644674,237.59659814197235,10.0,
NGC3877_rotmod.dat,4.163336342344337e-16,2.0000000002769224e-09,8.824999999999985,7.071070031483067,279.2275906719611,11.0,
NGC3893_rotmod.dat,5.412337245047638e-16,2.000000000167688e-09,10.624999999999979,7.071067519334107,168.365761524163,8.0,
NGC3917_rotmod.dat,0.5525215684791169,0.018925030472177435,29.02372555577451,4.214565332159891,81.06019306363356,15.0,
NGC3949_rotmod.dat,4.163336342344337e-16,2.000000000195905e-09,8.824999999999985,7.071067519334107,197.62751249277193,5.0,
NGC3953_rotmod.dat,4.163336342344337e-16,2.000000000068899e-09,8.824999999999985,7.071068147371095,70.08673742977943,6.0,
NGC3972_rotmod.dat,0.4660177117760075,0.03017800810894809,19.29966668256173,4.644259733723995,38.784676880946165,8.0,
NGC3992_rotmod.dat,0.475696303090161,0.018342554725094995,53.56908982371808,4.04681906935499,200.53327785231048,7.0,
NGC4010_rotmod.dat,0.2836844473345693,0.026866008720175086,22.650621934528864,4.472759652731198,94.888083062002,10.0,
NGC4013_rotmod.dat,5.412337245047638e-16,2.0000000021460363e-09,10.624999999999979,7.071065007190457,2147.4890629521374,34.0,
NGC4051_rotmod.dat,4.163336342344337e-16,2.000000000104761e-09,8.824999999999985,7.071068147371095,105.71924984698798,5.0,
NGC4068_rotmod.dat,0.3427575882127077,0.061989708824986715,10.843788159344836,6.402111818085175,10.669600676323757,4.0,
NGC4085_rotmod.dat,4.163336342344337e-16,2.0000000002185607e-09,8.824999999999985,7.071067519334107,220.19203308601982,5.0,
NGC4088_rotmod.dat,4.163336342344337e-16,2.0000000006168436e-09,8.824999999999985,7.071065007188482,620.0205680018008,10.0,
NGC4100_rotmod.dat,0.23680883915975898,0.011516859507685362,38.08199706544842,4.142381850614325,313.76525037683695,22.0,
NGC4138_rotmod.dat,8.15517682892605e-15,2.000000000030002e-09,9.99999946715548,7.071067990361833,30.00651261920127,5.0,
NGC4157_rotmod.dat,4.163336342344337e-16,2.00000000035985e-09,8.824999999999985,7.071070031483067,361.6774392082613,15.0,
NGC4183_rotmod.dat,1.0811708768292554,0.03418979696991039,36.33200909161178,4.0950414115386184,86.26841781286387,21.0,
NGC4214_rotmod.dat,1.2624716735517518,0.06939840392096186,19.484441077086743,4.598884782824382,120.37451147958373,12.0,
NGC4217_rotmod.dat,4.163336342344337e-16,2.0000000015888813e-09,8.824999999999985,7.071065007187823,1596.3083901413856,17.0,
NGC4389_rotmod.dat,4.163336342344337e-16,2.000000000478293e-09,8.824999999999985,7.071070031483067,480.2284943945923,4.0,
NGC4559_rotmod.dat,0.3321568634472225,0.014298953294154666,41.94346988967021,4.0589051046800675,492.11473065003963,30.0,
NGC5005_rotmod.dat,4.163336342344337e-16,2.0000000002502558e-09,8.824999999999985,7.071067519334107,252.43026564602306,16.0,
NGC5033_rotmod.dat,0.6183856159130202,0.006857823914968898,99.99999971190329,2.00000000301647e-09,3016.4702156547564,20.0,
NGC5055_rotmod.dat,4.163336342344337e-16,2.0000000993799224e-09,8.824999999999985,7.071426797861976,95925.41338598882,26.0,
NGC5371_rotmod.dat,0.49947360821244435,0.35378225173437194,0.11944696380395897,0.25705655344822864,2413.5229837602637,17.0,
NGC5585_rotmod.dat,0.4774888675778203,0.012003696065203207,49.11369364103007,3.9259243291205657,3254.0365804147873,22.0,
NGC5907_rotmod.dat,0.3892622198913346,0.005524752774574145,97.76461188791708,3.835966026123911,1966.8265778095574,17.0,
NGC5985_rotmod.dat,0.9218848681330629,0.010103524204750984,56.073390359736834,3.8183461800750687,458.6875271155967,31.0,
NGC6015_rotmod.dat,0.26842224325009,0.004932806207248378,68.58209149184566,3.90160802681575,3125.485471352651,42.0,
NGC6195_rotmod.dat,4.163336342344337e-16,2.0000000013462436e-09,8.824999999999985,7.07106500719836,1355.4713981222765,21.0,
NGC6503_rotmod.dat,1.010199962775014,0.006498015832197692,97.40794827440817,3.7484486233584047,9102.355257659752,29.0,
NGC6674_rotmod.dat,1.1829264913738142,0.008811429185884408,99.99999999899697,2.0000000028958395e-09,2895.849091376329,13.0,
NGC6789_rotmod.dat,,,,,,,too few valid rows
NGC6946_rotmod.dat,4.163336342344337e-16,2.000000004972802e-09,8.824999999999985,7.0710650072747505,5003.170819311204,56.0,
NGC7331_rotmod.dat,4.163336342344337e-16,2.0000000058209623e-09,8.824999999999985,7.0710650072299694,5837.3538098897125,34.0,
NGC7793_rotmod.dat,0.03631601799090402,0.018150559880859216,14.260232349712721,5.430968469875812,115.96060655795623,44.0,
NGC7814_rotmod.dat,0.45855952392213256,0.009175122967555674,56.26870448642478,3.9096926823116016,1339.5781841873688,16.0,
PGC51017_rotmod.dat,5.134781488891349e-16,2.000000000020286e-09,10.22499999999998,7.071067676343338,20.467398955464358,4.0,
UGC00128_rotmod.dat,1.9999999999881384,0.00024641247643806445,99.99999991205503,0.0002464124764421152,10707.131974369504,20.0,
UGC00191_rotmod.dat,1.6937682511782746,0.02268532940377699,36.65692051965194,4.029644354262567,152.33781037752414,7.0,
UGC00634_rotmod.dat,,,,,,,too few valid rows
UGC00731_rotmod.dat,1.9999999999999998,2.0000000005728794e-09,36.24661325725266,4.027928671408854,573.5830566743207,10.0,
UGC00891_rotmod.dat,,,,,,,too few valid rows
UGC01230_rotmod.dat,1.9999999999921583,2.0000000000313966e-09,31.836831113632165,4.112426598196407,31.406946817099932,9.0,
